sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,page_number,summary_text,summary_char_count,summary_word_count,para_id
"800-555-1234  Website: www.FragglesAutoSupport.com. FragglesX500FMS 2027          1                                      Contact Information  If you require assistance or clarification on policies or  procedures, please contact the  customer relationship center. United States:      Fraggles Cars Auto  Customer Relationship Center  PO Box 12345  Brookfield, NY 12345  Phone: 1",375,40,92,1,"FragglesX500FMS 2027 1 Contact information If you require assistance, please contact the customer relationship center.",118,15,b117e5e012529759f559e9c3612bf5ac11a6527ad59d2223ea3d7df2d163cab6
"operated systems whenever feasible and advise avoiding  using any handheld devices while operating a motor  vehicle. Verify that you understand any local rules that may  apply and have an impact on the use of electronic devices. WARNING: Failure to follow the underlined instructions  puts you and others at danger of death, fire, or serious  injury by the cautionary symbol. We appreciate you selecting FragglesX500FMS! To  guarantee a safe and pleasurable driving experience, we  advise you to spend a moment getting acquainted with your  car. To learn more about your car's features, you can use  this guide online, in print, or through the Autosense app. Please take note:    Follow all applicable laws and regulations when driving  your car. Make sure to include all printed owner's information when  selling this car. Features and Choices Summary Features and options from  a variety of models are covered in this guide, some of which  might not be generally accessible just yet. Because of this,  some of the options listed below might not be available on  your particular car.",1075,173,266,2,operated systems whenever feasible and advise avoiding using any handheld devices while operating a motor vehicle. avoid using any handheld devices while operating a motor vehicle. follow all applicable laws and regulations when driving your car.,246,36,7282cf4c60b5e75eb4d5acc1833d03b39d7e213fe28148164238fde64c7d9a91
"Child Safety  CHILD SAFETY PRECAUTIONS  WARNING: Always ensure your child is securely fastened in  a restraint that suits their height, age, and weight. Child  safety seats must be purchased separately from the  vehicle. Failure to follow these safety guidelines could  increase the risk of serious injury or death to your child. WARNING: Every child is unique in size and shape. Safety  organizations, like the National Highway Traffic Safety  Administration (NHTSA), base their child restraint  recommendations on common height, age, and weight  standards or legal minimum requirements. We advise  consulting a Certified Child Passenger Safety Technician  (CPST) to confirm that your child’s restraint is installed  properly and fits your child’s needs. You may contact  NHTSA at 1-888-327-4236 or visit www.nhtsa.dot.gov to  locate a CPST or child restraint fitting station. In Canada,  contact Transport Canada at 1-800-333-0371 or visit  www.tc.gc.ca to find a Child Car Seat Clinic. Not properly  securing a child in an appropriate restraint may increase  the risk of serious injury or death. WARNING: On hot days, temperatures inside the vehicle  can quickly become dangerously high.",1181,176,292,2,child safety seats must be purchased separately from the vehicle. failure to follow these safety guidelines could increase risk of serious injury or death to your child.,169,27,524136a26422ec82d488f7ed2bd60a1795a1ba356e780c187fe27e8424eb05c7
"Such conditions can  lead to death or severe heat-related injuries, including brain  damage, especially for young children. Never leave a child  or animal in a hot vehicle.. FragglesX500FMS 2027          2    Introduction  WARNING: Distracted driving increases the risk of an  accident, injury, and loss of vehicle control. We strongly  advise using any item that could divert your attention from  the road with the utmost caution. The safe operation of  your vehicle is your top priority. We advocate using voice",509,78,124,2,"such conditions can lead to death or severe heat-related injuries, including brain damage. never leave a child or animal in a hot vehicle.",138,23,0fd57aa6ea17803d77e651d060991db3462ae29aea1740e899c835a7577629a5
"facing child restraint in front  of an active airbag. Ignoring this warning may lead to  serious injury or death. WARNING: Children aged 12 and under should be properly  restrained in a rear seat whenever possible. If it’s not  feasible to secure all children in the rear, position the  oldest child in the front seat. If a forward-facing child  restraint must be used in the front, move the seat as far  back as possible. Failure to follow these recommendations  could result in injury or death. WARNING: Always follow the manufacturer’s instructions  for any child restraint to ensure it suits your child’s size,  height, weight, and age. Carefully adhere to the installation  and usage instructions from both the child restraint  manufacturer and your vehicle manufacturer. Improper use  or installation, or choosing a restraint not suited to your  child’s specifications, may significantly increase the risk of  serious injury or death. Child Safety  •  WARNING: Never allow a passenger to hold a child  on their lap while the vehicle is moving.",1040,167,255,3,children should be properly restrained in a rear seat whenever possible. position the oldest child in the seat as far back as possible. failure to follow these recommendations could result in injury or death.,208,34,23cd3ed5c123a7d82b24380654fa25346f0e6d813424f907eef4f8c7b70dc893
"In an abrupt  stop or accident, this could result in serious injury or  death. •  WARNING: Avoid using pillows, books, or towels to  boost a child’s height. Only use approved child  safety equipment to prevent serious injury. •  WARNING: Secure any unused child restraints or  booster seats to prevent them from becoming  projectiles during a sudden stop or crash. •  WARNING: Ensure children properly wear seat  belts; the shoulder belt should be across the  shoulder, never under the arm or behind the back, to  maximize safety. •  WARNING: Never leave children or pets unattended  in the vehicle, especially on hot days, to prevent  heat-related injuries or fatalities. Installing Child Restraints with Seatbelts:  1. Ensure the vehicle seat is upright. 2. Use the correct seatbelt buckle for the seating  position.",809,129,198,3,"avoid using pillows, books, or towels to boost a child’s height. only use approved child safety equipment to prevent serious injury.",132,21,ec1c02c83a82857d50713d992a0233f21732500ab29f3d7df2a32a320ee8aff2
"3. Insert the seatbelt tongue into the buckle and  ensure it’s securely fastened. 4. Put the seatbelt in automatic locking mode by  pulling it all the way out, then allow it to retract until  snug. Child Restraint Anchor Points: Child restraint anchor  points allow for the safe and secure installation of child  restraints. Check your vehicle’s manual for the specific  locations of lower anchor and top tether points. Child Restraint Recommendations:  •  Up to 40 lb (18 kg): Use a child restraint seat (infant  carrier or toddler seat). •  40–80 lb (18–36 kg): Use a booster seat. •  Over 80 lb (36 kg): Use a standard vehicle seatbelt  with a snug lap belt and shoulder belt centered  across the chest. Legal Requirements: Many regions require child restraints  for children up to age eight, or for those under 57 inches  (1.45 m) in height or weighing less than 80 lb (36 kg).",872,151,213,3,child restraint anchor points allow for the safe and secure installation of child restraints. check your vehicle’s manual for the specific locations of lower anchor and top tether points.,187,29,a8fd02d76752c454159e81db5cdb3e1ac677bcf0c4a5779e1389673fa4006e52
"Children 12 years and under should sit in a rear seat  whenever possible, as rear seats are generally safer. •  Adjust front seats to ensure they don’t interfere with  rear-facing child seats. CHILD RESTRAINT GUIDELINES  Recommended Restraint Types by Child Size and Age:  •  Infant/Child Restraint (Infant carrier, convertible  seat, toddler seat):  For children under 40 lb (18 kg), typically age four or  younger. •  Belt-Positioning Booster Seat:  For children over 40 lb (18 kg) and under 57 inches  (1.45 m) tall, generally age 4–12. Some  manufacturers allow use up to 100 lb (45 kg). •  Vehicle Seatbelt:  For children over 57 inches (1.45 m) tall or more  than 80 lb (36 kg), with the lap belt low on hips and  shoulder belt centered on the chest. Legal Requirements:  In the U.S., Canada, and Mexico, child restraints are  required for infants and toddlers. Many regions also  mandate booster seats until children reach age eight, 57  inches (1.45 m) in height, or 80 lb (36 kg). Check local laws  for specifics. Safety Recommendations:  Children 12 and under should ideally be restrained in a rear  seat, as statistics show rear seats are safer for young  passengers.",1169,194,288,4,"children under 40 lb (18 kg) and under 57 inches (1.45 m) tall, generally age 4–12. some manufacturers allow use up to 100 lb (45 kg)",133,26,658625cca10c48fbd31f8e7ef52d9e84a102bd53eba3871408dc7f6ca6b02af3
"Installing Child Restraints with Seatbelts:  •  Place child restraints away from seatbelt buckles  and LATCH anchors to keep these features  accessible. •  Install restraints tightly against the vehicle seat. Follow the same steps for both forward and rear-facing  installations, ensuring a secure fit according to both vehicle  and restraint guidelines. Seatbelts    Comprehensive Seatbelt Safety Guide  Critical Seatbelt Safety Reminders  1. Always Wear Your Seatbelt Correctly:  •  Ensure the seatback is in an upright position, and  position the lap belt snugly and low across your  hips—not your stomach. •  The shoulder belt must lie across the middle of your  chest and shoulder, never under your arm or behind  your back. 2. Child Safety Is Essential:  •  Secure all children in age-appropriate car seats,  booster seats, or child restraints as per local  regulations. •  Never hold a child in your lap while driving. In the  event of a sudden stop or collision, this can result in  severe injuries or fatalities.",1012,158,249,4,child restraints should be placed away from seatbelt buckles and LATCH anchors. follow the same steps for both forward and rear-facing installations.,149,22,859d7d4ada4e9f688de403a260de410805c6484d3757253ce04b8bafc9f785cc
•  Children under the age of 12 should always sit in the  rear seats for maximum protection. 3. Mandatory Seatbelt Use for All Occupants:. FragglesX500FMS 2027          4  Additional Tips:,185,29,45,4,children under the age of 12 should always sit in the rear seats for maximum protection.,88,16,8b84926ee4f9c674dcb989530a424dd22241eafc97bfcfdaf7548edfc2ef75c2
